episode,score,length
1001,390.0,457
1002,330.0,409
1003,860.0,585
1004,600.0,603
1005,570.0,619
1006,270.0,321
1007,600.0,535
1008,730.0,733
1009,490.0,493
1010,730.0,841
1011,500.0,605
1012,560.0,635
1013,700.0,767
1014,460.0,527
1015,790.0,799
1016,560.0,627
1017,470.0,597
1018,110.0,327
1019,480.0,629
1020,540.0,615
1021,540.0,499
1022,550.0,639
1023,460.0,615
1024,570.0,635
1025,400.0,599
1026,300.0,539
1027,340.0,491
1028,490.0,655
1029,1140.0,1293
1030,340.0,351
1031,590.0,587
1032,880.0,849
1033,1420.0,1025
1034,710.0,573
1035,560.0,635
1036,1160.0,899
1037,580.0,589
1038,920.0,737
1039,980.0,743
1040,550.0,789
1041,380.0,829
1042,790.0,615
1043,400.0,673
1044,850.0,717
1045,1010.0,1023
1046,570.0,771
1047,370.0,563
1048,270.0,547
1049,730.0,647
1050,550.0,555
1051,1200.0,789
1052,720.0,665
1053,1260.0,717
1054,930.0,557
1055,1120.0,843
1056,500.0,729
1057,1130.0,811
1058,700.0,563
1059,340.0,341
1060,350.0,347
1061,940.0,731
1062,960.0,721
1063,530.0,635
1064,390.0,733
1065,560.0,707
1066,550.0,591
1067,320.0,543
1068,680.0,691
1069,580.0,625
1070,330.0,657
1071,750.0,673
1072,540.0,589
1073,740.0,691
1074,650.0,639
1075,670.0,647
1076,1080.0,715
1077,1780.0,707
1078,730.0,551
1079,1200.0,709
1080,540.0,451
1081,900.0,831
1082,800.0,601
1083,470.0,543
1084,560.0,601
1085,1260.0,793
1086,460.0,489
1087,340.0,419
1088,1350.0,747
1089,950.0,1133
1090,380.0,583
1091,390.0,367
1092,650.0,579
1093,780.0,707
1094,1190.0,849
1095,800.0,741
1096,810.0,589
1097,210.0,335
1098,320.0,383
1099,430.0,449
1100,1240.0,667
1101,670.0,625
1102,1400.0,831
1103,710.0,631
1104,530.0,583
1105,790.0,719
1106,610.0,835
1107,520.0,613
1108,240.0,325
1109,360.0,431
1110,1110.0,731
1111,690.0,643
1112,500.0,505
1113,360.0,359
1114,630.0,529
1115,690.0,511
1116,1050.0,1211
1117,240.0,377
1118,410.0,435
1119,330.0,373
1120,520.0,697
1121,940.0,609
1122,710.0,741
1123,400.0,461
1124,1320.0,883
1125,440.0,487
1126,260.0,445
1127,480.0,487
1128,2390.0,967
1129,880.0,667
1130,490.0,511
1131,220.0,377
1132,220.0,329
1133,870.0,775
1134,240.0,311
1135,1160.0,857
1136,1140.0,861
1137,440.0,433
1138,440.0,423
1139,900.0,705
1140,440.0,475
1141,720.0,567
1142,390.0,489
1143,770.0,641
1144,620.0,605
1145,1330.0,853
1146,550.0,509
1147,370.0,453
1148,800.0,575
1149,950.0,705
1150,410.0,457
1151,1280.0,859
1152,530.0,497
1153,550.0,553
1154,1090.0,959
1155,530.0,725
1156,600.0,627
1157,1310.0,631
1158,760.0,769
1159,1300.0,645
1160,320.0,369
1161,540.0,555
1162,390.0,429
1163,580.0,599
1164,380.0,515
1165,460.0,591
1166,430.0,511
1167,740.0,701
1168,590.0,539
1169,710.0,613
1170,430.0,479
1171,410.0,467
1172,430.0,445
1173,730.0,617
1174,600.0,579
1175,720.0,759
1176,570.0,703
1177,870.0,713
1178,600.0,583
1179,300.0,423
1180,650.0,469
1181,600.0,635
1182,1320.0,981
1183,1010.0,757
1184,900.0,825
1185,1420.0,743
1186,700.0,625
1187,670.0,593
1188,520.0,479
1189,870.0,773
1190,390.0,493
1191,510.0,653
1192,410.0,503
1193,560.0,653
1194,810.0,613
1195,880.0,897
1196,420.0,529
1197,350.0,405
1198,410.0,459
1199,410.0,461
1200,1170.0,567
1201,250.0,355
1202,1180.0,679
1203,720.0,701
1204,570.0,527
1205,800.0,765
1206,460.0,425
